Timestamp,Iteration,Price,Signal,Trend,USDC_Balance,TRUMP_Balance,Portfolio_Value,P/L_Percent,Trade_Action,Trade_Quantity,Trade_Price,RSI_Overbought,RSI_Oversold,MA_Fast,MA_Slow,Win_Rate,Avg_Trade_Duration,MACD_Line,MACD_Signal
2025-01-28 16:49:59,195,29.4,NEUTRAL,DOWNTREND,0.10,34.04,1000.99,0.10,NEUTRAL,0.0,,70,35,29.4275,29.44846153846154,n/a,n/a,-0.0020553923184571943,0.010776554732053599
2025-01-28 16:50:28,1,29.41,NEUTRAL,NEUTRAL,500.00,17.02,1000.51,0.05,NEUTRAL,0.0,,70,35,nan,nan,n/a,n/a,n/a,n/a
2025-01-28 16:50:38,2,29.42,NEUTRAL,NEUTRAL,500.00,17.02,1000.68,0.07,NEUTRAL,0.0,,70,35,nan,nan,n/a,n/a,n/a,n/a
2025-01-28 16:50:48,3,29.38,NEUTRAL,NEUTRAL,500.00,17.02,1000.00,0.00,NEUTRAL,0.0,,70,35,nan,nan,n/a,n/a,n/a,n/a
2025-01-28 16:50:58,4,29.36,NEUTRAL,NEUTRAL,500.00,17.02,999.66,-0.03,NEUTRAL,0.0,,70,35,nan,nan,n/a,n/a,n/a,n/a
2025-01-28 16:51:09,5,29.27,NEUTRAL,NEUTRAL,500.00,17.02,998.13,-0.19,NEUTRAL,0.0,,70,35,nan,nan,n/a,n/a,n/a,n/a
2025-01-28 16:51:19,6,29.25,NEUTRAL,NEUTRAL,500.00,17.02,997.79,-0.22,NEUTRAL,0.0,,70,35,nan,nan,n/a,n/a,n/a,n/a
2025-01-28 16:51:29,7,29.19,NEUTRAL,NEUTRAL,500.00,17.02,996.77,-0.32,NEUTRAL,0.0,,70,35,nan,nan,n/a,n/a,n/a,n/a
2025-01-28 16:51:39,8,29.22,NEUTRAL,NEUTRAL,500.00,17.02,997.28,-0.27,NEUTRAL,0.0,,70,35,nan,nan,n/a,n/a,n/a,n/a
2025-01-28 16:51:50,9,29.23,NEUTRAL,NEUTRAL,500.00,17.02,997.45,-0.26,NEUTRAL,0.0,,70,35,nan,nan,n/a,n/a,n/a,n/a
2025-01-28 16:52:00,10,29.24,NEUTRAL,NEUTRAL,500.00,17.02,997.62,-0.24,NEUTRAL,0.0,,70,35,nan,nan,n/a,n/a,n/a,n/a
2025-01-28 16:52:00,10,-,PARAMS_ADJUST,-,-,-,-,-,-,-,70,35,0.0,0.0
2025-01-28 16:52:00,10,-,REPORT,-,-,-,-,-0.14,-,-,,70,35,n/a,n/a,0.00%,0.00 min,n/a,n/a
2025-01-28 16:52:10,11,29.2,NEUTRAL,NEUTRAL,500.00,17.02,996.94,-0.31,NEUTRAL,0.0,,70,35,nan,nan,n/a,n/a,n/a,n/a
2025-01-28 16:52:20,12,29.2,NEUTRAL,NEUTRAL,500.00,17.02,996.94,-0.31,NEUTRAL,0.0,,70,35,nan,nan,n/a,n/a,n/a,n/a
2025-01-28 16:52:31,13,29.15,NEUTRAL,NEUTRAL,500.00,17.02,996.09,-0.39,NEUTRAL,0.0,,70,35,nan,nan,n/a,n/a,n/a,n/a
2025-01-28 16:52:41,14,29.11,NEUTRAL,NEUTRAL,500.00,17.02,995.41,-0.46,NEUTRAL,0.0,,70,35,nan,nan,n/a,n/a,n/a,n/a
2025-01-28 16:52:51,15,29.05,NEUTRAL,NEUTRAL,500.00,17.02,994.38,-0.56,NEUTRAL,0.0,,70,35,nan,nan,n/a,n/a,n/a,n/a
2025-01-28 16:53:01,16,29.13,NEUTRAL,NEUTRAL,500.00,17.02,995.75,-0.43,NEUTRAL,0.0,,70,35,nan,nan,n/a,n/a,n/a,n/a
2025-01-28 16:53:11,17,29.12,NEUTRAL,NEUTRAL,500.00,17.02,995.58,-0.44,NEUTRAL,0.0,,70,35,nan,nan,n/a,n/a,n/a,n/a
2025-01-28 16:53:22,18,29.07,NEUTRAL,NEUTRAL,500.00,17.02,994.72,-0.53,NEUTRAL,0.0,,70,35,nan,nan,n/a,n/a,n/a,n/a
2025-01-28 16:53:32,19,29.04,NEUTRAL,NEUTRAL,500.00,17.02,994.21,-0.58,NEUTRAL,0.0,,70,35,nan,nan,n/a,n/a,n/a,n/a
2025-01-28 16:53:42,20,29.05,NEUTRAL,NEUTRAL,500.00,17.02,994.38,-0.56,NEUTRAL,0.0,,70,35,nan,nan,n/a,n/a,n/a,n/a
2025-01-28 16:53:42,20,-,PARAMS_ADJUST,-,-,-,-,-,-,-,70,35,0.0,0.0
2025-01-28 16:53:42,20,-,REPORT,-,-,-,-,-0.46,-,-,,70,35,n/a,n/a,0.00%,0.00 min,n/a,n/a
2025-01-28 16:53:52,21,29.09,NEUTRAL,NEUTRAL,500.00,17.02,995.06,-0.49,NEUTRAL,0.0,,70,35,nan,nan,n/a,n/a,n/a,n/a
2025-01-28 16:54:03,22,29.09,NEUTRAL,NEUTRAL,500.00,17.02,995.06,-0.49,NEUTRAL,0.0,,70,35,nan,nan,n/a,n/a,n/a,n/a
2025-01-28 16:54:13,23,29.09,NEUTRAL,NEUTRAL,500.00,17.02,995.06,-0.49,NEUTRAL,0.0,,70,35,nan,nan,n/a,n/a,n/a,n/a
2025-01-28 16:54:23,24,29.12,NEUTRAL,NEUTRAL,500.00,17.02,995.58,-0.44,NEUTRAL,0.0,,70,35,nan,nan,n/a,n/a,n/a,n/a
2025-01-28 16:54:33,25,29.1,NEUTRAL,NEUTRAL,500.00,17.02,995.23,-0.48,NEUTRAL,0.0,,70,35,nan,nan,n/a,n/a,n/a,n/a
2025-01-28 16:54:44,26,29.09,NEUTRAL,NEUTRAL,500.00,17.02,995.06,-0.49,NEUTRAL,0.0,,70,35,nan,nan,n/a,n/a,n/a,n/a
2025-01-28 16:54:54,27,29.13,NEUTRAL,DOWNTREND,500.00,17.02,995.75,-0.43,NEUTRAL,0.0,,70,35,29.251428571428573,29.3008,n/a,n/a,nan,nan
2025-01-28 16:55:04,28,29.14,NEUTRAL,DOWNTREND,500.00,17.02,995.92,-0.41,NEUTRAL,0.0,,70,35,29.204285714285714,29.2976,n/a,n/a,nan,nan
2025-01-28 16:55:15,29,29.16,NEUTRAL,DOWNTREND,500.00,17.02,996.26,-0.37,NEUTRAL,0.0,,70,35,29.20714285714286,29.298399999999997,n/a,n/a,nan,nan
2025-01-28 16:55:25,30,29.18,NEUTRAL,DOWNTREND,500.00,17.02,996.60,-0.34,NEUTRAL,0.0,,70,35,29.21,29.2992,n/a,n/a,nan,nan
2025-01-28 16:55:25,30,-,PARAMS_ADJUST,-,-,-,-,-,-,-,70,35,0.0,0.0
2025-01-28 16:55:25,30,-,REPORT,-,-,-,-,-0.44,-,-,,70,35,n/a,n/a,0.00%,0.00 min,n/a,n/a
2025-01-28 16:55:36,31,29.13,NEUTRAL,DOWNTREND,500.00,17.02,995.75,-0.43,NEUTRAL,0.0,,70,35,29.202857142857145,29.297199999999997,n/a,n/a,nan,nan
